"Customer","Year","Month","TotalQuantity","TotalRevenue","AvgPrice","MedianPrice","OrdersCount"
"Alice",NA,NA,383,346.35,4.74452054794521,4.41,73
"Bob",NA,NA,492,484.23,5.20677419354839,5.37,93
"Charlie",NA,NA,506,529.09,5.6286170212766,5.76,94
"David",NA,NA,466,416.25,5.07621951219512,5.225,82
"Eve",NA,NA,445,420.44,5.3220253164557,5.61,79
"Frank",NA,NA,506,556.53,5.45617647058824,5.61,102
"Grace",NA,NA,442,463.03,4.97881720430107,5.07,93
"Hannah",NA,NA,420,517.14,5.2769387755102,5.075,98
"Ian",NA,NA,525,485.17,5.10705263157895,4.71,95
"Jane",NA,NA,482,468.74,4.88270833333333,4.76,96
"Unknown",NA,NA,523,488.31,5.14010526315789,5.43,95
